action_id,action_name,attack_category,attack_utility,conditional_flag,trigger_state,support_mode,phase_count,main_plane,rotation_complexity,support_switch_count,translation_distance_m,impact_impulse,impact_kinetic,score_potential,work_cost,peak_power_proxy,exec_time,exposure_index,com_shift_max,zmp_margin_norm,fall_risk,stable_margin_mode,range_tag_q1,end_velocity_peak,trajectory_type,direction_tag,height_tag,range_tag,target_zone,contact_mode_attack,attack_primary_plane,attack_entry_state,attack_trigger_state,semantic_source_type,contact_phase_policy,contact_phase_no,contact_phase_name,contact_phase_time_ratio,contact_fraction_in_phase,contact_phase_theta_deg,contact_translation_share,contact_support_mode,contact_strike_segments_json,contact_active_segments_json,contact_reach_m,contact_load_family,contact_plane,recover_phase_policy,recover_delay_base_s,recover_switch_coeff,recover_rotation_coeff,recover_risk_coeff,counter_unlock_mode,counter_unlock_coeff,response_policy_source,t_contact,t_end,t_recover,opp_recover_time,attack_description,J_attack_norm,E_attack_norm,H_attack,R_attack,tau_norm,time_norm,impact_score,score_prob,energy_cost,balance_cost,defense_id,defense_name,defense_category,category,defense_role,is_primary_candidate,closure_group,entry_state,exit_state,coverage_direction,coverage_height,coverage_range,coverage_target_zone,contact_mode,support_mode_def,route_type,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,exec_time_def,effective_support_mass,balance_cost_def,mobility_cost,J_cap,E_cap,absorb_base,clear_back_m,clear_lateral_m,clear_orbit_m,clear_drop_m,postdef_delay_s,counter_readiness_tag,force_capacity_factor,force_capacity_factor_input,force_capacity_factor_delta,contact_stiffness_ratio,contact_stiffness_ratio_input,contact_stiffness_ratio_delta,defense_source_type,defense_description,force_capacity_basis,stiffness_basis,active_segments_json,support_segments_json,defense_stable_margin,force_capacity_factor_audit,contact_stiffness_ratio_audit,state_feasible,active_primary_feasible,fallback_feasible,ground_feasible,recovery_feasible,role_feasible,primary_role_feasible,direction_match,height_match,range_match,zone_match,p_geo,geo_covered,p_react,p_route,d_need,d_clear,p_clear,clearance_need_ratio,p_load_j,p_load_e,p_load,p_success,residual_damage,defense_damage,p_fall,base_counter_window,counter_window,counter_ready,counter_action_id,counter_action_ids,counter_action_names,counter_prob_effective,counter_prob,counter_tau_norm,p_block,exit_state_after_defense,counter_window_norm,defense_harm_safe,stability_safe,method1_score,method1_rank,method2_score,method2_rank,method3_score,method3_rank,proposed_score,primary_score,score_def,proposed_utility,fallback_score,rank,fallback_rank
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D01,cross_block,block,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,shoulder_pair,30.0,,0.0,,0.088828125,12.600000000000001,0.05378158817802791,0.42572301257047346,10.45906124272582,6.025605405078174,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,0.85,0.2593609954301702,0.48,0.5,-0.020000000000000018,derived_model,cross block for high straight attacks,double arm rigid frame,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,0.7133517433662523,1.0,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.5280402199329738,0.10660337884965375,0.10660337884965375,0.020300574515562456,0.0,0.0,0,,,,0.0,0.0,0.0,0.5280402199329738,standing,0.0,0.8933966211503462,0.9796994254844376,1.0,1,0.5280402199329738,1,0.7349547839642527,1,0.22584443719235428,0.22584443719235428,0.22584443719235428,0.5933987951488771,0.0,1,8
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D02,single_parry,block,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,elbow_single,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.0667026209604816,0.5280030155978912,10.45906124272582,6.025605405078174,0.52,0.0,0.0,0.0,0.0,0.06,fast,1.1093609954301702,0.55,0.5593609954301701,0.48,0.5,-0.020000000000000018,derived_model,single hand parry for line attacks,lever based single arm parry,rigid contact with structural dissipation,"[""S2"", ""S4"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,0.6789516828727458,1.0,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.5025764628487318,0.11225729735274541,0.11225729735274541,0.026536213115092796,0.015080244012411842,0.015080244012411842,0,,,,0.0,0.0,0.0,0.5025764628487318,standing,0.02705482013065851,0.8877427026472546,0.9734637868849072,1.0,2,0.5025764628487318,2,0.7213741135193237,2,0.21651119711474162,0.21651119711474162,0.21651119711474162,0.5688760152843745,0.0,2,9
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D03,elbow_block,block,block,active_primary,1,active,standing,standing,front,high,close,head_torso,rigid,double_support,block_line,elbow_single,50.0,,0.0,,0.12138020833333332,12.600000000000001,0.0824213025869223,0.6524285805978177,10.45906124272582,6.025605405078174,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,0.65,0.45936099543017017,0.48,0.5,-0.020000000000000018,derived_model,elbow block at close range,short rigid chain support,rigid contact with structural dissipation,"[""S2"", ""S4"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,True,False,False,False,True,True,1.0,0.5,0.5,1.0,0.7749999999999999,True,0.6424922965013988,1.0,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.42123538944739053,0.13031809641094028,0.13031809641094028,0.03815145955779248,0.0,0.0,0,,,,0.0,0.0,0.0,0.42123538944739053,standing,0.0,0.8696819035890597,0.9618485404422075,0.5,3,0.42123538944739053,3,0.677992207705275,3,0.1671014978403425,0.1671014978403425,0.1671014978403425,0.4390536633035511,0.0,3,10
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D04,downward_block,block,block,active_primary,1,active,standing,standing,front,low,middle,lower_limbs,rigid,double_support,block_line,shoulder_single,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.071070451904515,0.562577787576308,10.45906124272582,6.025605405078174,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,0.6,0.5093609954301702,0.48,0.5,-0.020000000000000018,derived_model,downward block for low line attacks,single shoulder support chain,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,True,False,False,False,True,True,1.0,0.5,1.0,0.0,0.675,True,0.6789516828727458,1.0,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.3877018427690217,0.13776381384422695,0.13776381384422695,0.03480340579101735,0.0,0.0,0,,,,0.0,0.0,0.0,0.3877018427690217,standing,0.0,0.862236186155773,0.9651965942089826,0.5,4,0.3877018427690217,4,0.6601076494768116,4,0.1495532286274142,0.1495532286274142,0.1495532286274142,0.3929461658714544,0.0,4,11
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D05,clamp_block,block,block,active_primary,1,active,standing,standing,front,middle,close,torso_limbs,rigid,double_support,block_line,wrist_pair,60.0,,0.0,,0.13765624999999998,12.600000000000001,0.10389804999999999,0.822433705374812,10.45906124272582,6.025605405078174,0.52,0.0,0.0,0.0,0.0,0.18,slow,1.1093609954301702,0.7,0.40936099543017024,0.48,0.5,-0.020000000000000018,derived_model,close range clamp and catch,two hand close range constraint,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,True,False,False,False,True,True,1.0,0.5,0.5,0.5,0.6749999999999999,True,0.6043055201124738,1.0,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.34507663748881323,0.14722822383033193,0.14722822383033193,0.054421135037338406,0.0,0.0,0,,,,0.0,0.0,0.0,0.34507663748881323,standing,0.0,0.852771776169668,0.9455788649626616,0.5,5,0.34507663748881323,5,0.6373742066607003,5,0.12485989877161681,0.12485989877161681,0.12485989877161681,0.328065257725978,0.0,5,12
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D06,lateral_slip,evade,evade,active_primary,1,active,standing,off_line,lateral,all,middle,all,none,dynamic_step,evade_lateral,hip_lateral,30.0,waist_turn,10.0,,0.128828125,11.592000000000002,0.0793303466125189,0.7387779588707346,0.0,0.0,0.0,0.0,0.09643336332501978,0.0,0.0,0.06,fast,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,lateral slip to leave the attack line,non contact evade route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,True,False,False,False,True,True,0.0,1.0,1.0,1.0,0.65,True,0.625209303080424,0.85,0.2016,0.09643336332501978,0.1820707454860781,0.28,0.0,0.0,0.0,0.06289235895291798,0.20976995892794292,0.20976995892794292,0.06994869573977748,0.0,0.0,0,,,,0.0,0.0,0.0,0.06289235895291798,off_line,0.0,0.7902300410720571,0.9300513042602225,0.5,6,0.06289235895291798,12,0.5567433470240191,12,0.0,0.0,0.0,0.0,0.0,9,13
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D07,duck_evade,evade,evade,active_primary,1,active,standing,crouched,front,high,middle,head_torso,none,quasi_single_support,evade_duck,knee_single,70.0,,0.0,,0.17393229166666666,10.836,0.14780610000000002,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.23203741893102367,0.1,medium,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,duck under high line attacks,non contact vertical evade,noncontact baseline reference,"[""S2"", ""S7"", ""S8""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.0821145,OK,revisit,True,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,0.5151646184768143,0.48,0.1872,0.23203741893102367,0.6548742877579189,0.26,0.0,0.0,0.0,0.14169458629329518,0.19213021374973577,0.19213021374973577,0.1560955667693553,0.0,0.0,0,,,,0.0,0.0,0.0,0.14169458629329518,crouched,0.0,0.8078697862502642,0.8439044332306447,0.5,7,0.14169458629329518,7,0.56,6,0.006292593443909577,0.006292593443909577,0.006292593443909577,0.016533581319947945,0.0,8,14
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D08,back_step,evade,evade,active_primary,1,active,standing,off_line,front_lateral,middle_high,middle,head_torso,none,dynamic_step,evade_back,step_back,50.0,torso_turn,10.0,,0.16138020833333333,11.592000000000002,0.12389634872246487,1.1538067779761212,0.0,0.0,0.0,0.1577668530603535,0.0,0.0,0.0,0.1,medium,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,backward step to break range against straight or mid-high entries,non contact backward route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,True,False,False,False,True,True,1.0,1.0,1.0,1.0,1.0,True,0.546415455900821,0.72,0.2736,0.1577668530603535,0.1604667614035134,0.38,0.0,0.0,0.0,0.0631306933842449,0.20971660816898988,0.20971660816898988,0.10921651359157647,0.0,0.0,0,,,,0.0,0.0,0.0,0.0631306933842449,off_line,0.0,0.7902833918310102,0.8907834864084235,0.5,8,0.0631306933842449,11,0.5567611306103367,11,0.0,0.0,0.0,0.0,0.0,10,15
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D09,spin_evade,evade,evade,active_primary,1,active,standing,off_line,spin,all,middle,all,none,single_support_rotational,evade_spin,waist_turn,120.0,,0.0,,0.2953125,9.576,0.0909576,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,medium,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,spin off the incoming line,rotational evade route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.050532,OK,revisit,True,True,False,False,False,True,True,0.0,1.0,1.0,1.0,0.65,True,0.2399187520248483,0.52,0.2736,0.0,0.019674304229519612,0.38,0.0,0.0,0.0,0.0015954392669837968,0.22349117062413676,0.22349117062413676,0.18157467410077918,0.0,0.0,0,,,,0.0,0.0,0.0,0.0015954392669837968,off_line,0.0,0.7765088293758633,0.8184253258992208,0.5,9,0.0015954392669837968,13,0.5521696097919545,13,0.0,0.0,0.0,0.0,0.0,11,16
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D10,orbit_step,evade,evade,active_primary,1,active,standing,off_line,spin,all,long,all,none,dynamic_step,evade_orbit,waist_turn,90.0,hip_lateral,45.0,,0.22648437500000002,11.592000000000002,0.19328489999999998,1.8,0.0,0.0,0.0,0.0,0.0,0.3241420613767649,0.0,0.1,medium,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,orbit step around wide spin or large arc attacks,non contact orbit route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,True,False,False,False,True,True,0.0,1.0,0.5,1.0,0.55,True,0.38583738264019807,0.58,0.24480000000000002,0.3241420613767649,0.7564764996572351,0.34,0.0,0.0,0.0,0.09310873513744464,0.20300607427527154,0.20300607427527154,0.16493162425196092,0.0,0.0,0,,,,0.0,0.0,0.0,0.09310873513744464,off_line,0.0,0.7969939257247285,0.835068375748039,0.5,10,0.09310873513744464,9,0.5589979752415762,9,0.0,0.0,0.0,0.0,0.0,12,17
