action_id,action_name,method1_top1_defense,method2_top1_defense,method3_top1_defense,method4_top1_defense,method4_active_top1,method4_ground_top1,method4_fallback_top1,method4_recovery_if_needed,method4_active_role,method4_fallback_role
A01,straight_punch,D01,D01,D01,D01,D01,,D15,,active_primary,fallback_mitigation
A02,hook_punch,D06,D03,D03,D03,D03,,D16,,active_primary,fallback_mitigation
A03,combo_punch,D01,D03,D03,D03,D03,,D15,,active_primary,fallback_mitigation
A04,swing_punch,D10,D10,D10,D10,D10,,D16,,active_primary,fallback_mitigation
A05,front_kick,D01,D05,D05,D02,D02,,D15,,active_primary,fallback_mitigation
A06,side_kick,D01,D10,D10,D10,D10,,D16,,active_primary,fallback_mitigation
A07,spinning_kick,D10,D10,D10,D10,D10,,D16,,active_primary,fallback_mitigation
A08,low_sweep,D01,D04,D04,D04,D04,,D16,,active_primary,fallback_mitigation
A09,knee_strike,D03,D05,D05,D05,D05,,D15,,active_primary,fallback_mitigation
A10,punch_kick_combo,D01,D01,D01,D01,D01,,D16,,active_primary,fallback_mitigation
A11,five_kick_combo,D01,D22,D01,D22,D22,,D15,,active_combo,fallback_mitigation
A12,body_charge,D01,D07,D01,D06,D06,,D15,,active_primary,fallback_mitigation
A13,counter_after_fall,D01,D01,D01,D19,,D19,,D18,,
