action_id,action_name,attack_category,closure_complete,closure_note,active_top1_confidence,active_top1_defense_id,active_top1_defense_name,active_top1_role,active_top1_category,active_top1_score,active_top1_success,active_top1_damage,active_top1_fall,active_top1_counter_window,active_top1_counter_action_id,active_top1_counter_action_name,fallback_top1_defense_id,fallback_top1_defense_name,fallback_top1_role,fallback_top1_category,fallback_top1_score,fallback_top1_success,fallback_top1_damage,fallback_top1_fall,ground_top1_defense_id,ground_top1_defense_name,ground_top1_role,ground_top1_category,ground_top1_score,ground_top1_success,ground_top1_damage,ground_top1_fall,recovery_if_needed_defense_id,recovery_if_needed_defense_name,recovery_if_needed_role,recovery_if_needed_category,recovery_if_needed_score,defense_id_r1,defense_name_r1,block_prob_r1,counter_window_r1,counter_prob_r1,fall_risk_r1,defense_score_r1,counter_action_id_r1,counter_action_name_r1,counter_action_utility_r1,defense_id_r2,defense_name_r2,block_prob_r2,counter_window_r2,counter_prob_r2,fall_risk_r2,defense_score_r2,counter_action_id_r2,counter_action_name_r2,counter_action_utility_r2,defense_id_r3,defense_name_r3,block_prob_r3,counter_window_r3,counter_prob_r3,fall_risk_r3,defense_score_r3,counter_action_id_r3,counter_action_name_r3,counter_action_utility_r3
A01,straight_punch,punch,True,standing_with_fallback,strong,D01,cross_block,active_primary,block,0.21187987231887145,0.501638208936325,0.11151186086051519,0.021436213640409176,0.0,,,D11,head_guard,fallback_mitigation,posture,0.8007454356852257,0.2626416067895726,0.14796327582337757,0.04191190691863263,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D01,cross_block,0.501638208936325,0.0,0.0,0.021436213640409176,0.21187987231887145,,,0.0,D11,head_guard,0.2626416067895726,0.0,0.0,0.04191190691863263,0.8007454356852257,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A02,hook_punch,punch,True,standing_with_fallback,strong,D03,elbow_block,active_primary,block,0.10293792049182099,0.2855303629525611,0.20132609884312783,0.07081046284528995,0.058943597472143505,,,D14,com_compensation,fallback_mitigation,balance,0.7431743592327534,0.08124999958531913,0.22242024670988292,0.022294335286008514,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D03,elbow_block,0.2855303629525611,0.058943597472143505,0.0,0.07081046284528995,0.10293792049182099,,,0.0,D14,com_compensation,0.08124999958531913,0.0,0.0,0.022294335286008514,0.7431743592327534,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A03,combo_punch,combo,True,standing_with_fallback,medium,D03,elbow_block,active_primary,block,0.053227334383558346,0.20210462269265161,0.22815096944100396,0.10169038721595158,0.05855511291853445,,,D15,yield_buffer,fallback_mitigation,balance,0.7363673651526306,0.16980986522703836,0.24578339918240708,0.046321185829204706,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D03,elbow_block,0.20210462269265161,0.05855511291853445,0.0,0.10169038721595158,0.053227334383558346,,,0.0,D15,yield_buffer,0.16980986522703836,0.04500362388038208,0.0,0.046321185829204706,0.7363673651526306,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A04,swing_punch,punch,True,standing_with_fallback,weak,D10,orbit_step,active_primary,evade,0.009484085020094804,0.30787520356249454,0.4920822858695182,0.401787263252887,0.05534263183314303,,,D16,step_adjust,fallback_mitigation,balance,0.5982952984177698,0.11142087462258307,0.4037426682121596,0.19013285334153626,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D10,orbit_step,0.30787520356249454,0.05534263183314303,0.0,0.401787263252887,0.009484085020094804,,,0.0,D16,step_adjust,0.11142087462258307,0.1929988818331431,0.0,0.19013285334153626,0.5982952984177698,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A05,front_kick,kick,True,standing_with_fallback,strong,D05,clamp_block,active_primary,block,0.21286118335618598,0.5006651495141798,0.12540592926454863,0.05874416159007241,0.023579345164384202,,,D16,step_adjust,fallback_mitigation,balance,0.8304483948690821,0.40620106686448215,0.12151496694245836,0.05635509054103148,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D05,clamp_block,0.5006651495141798,0.023579345164384202,0.0,0.05874416159007241,0.21286118335618598,,,0.0,D16,step_adjust,0.40620106686448215,0.1524074701643842,0.0,0.05635509054103148,0.8304483948690821,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A06,side_kick,kick,True,standing_with_fallback,medium,D10,orbit_step,active_primary,evade,0.039109830152179115,0.2664087291093564,0.3628317020595071,0.3431123306183162,0.0903554656777753,,,D16,step_adjust,fallback_mitigation,balance,0.735927963326628,0.2968076675781105,0.2323262539148517,0.12122874243617883,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D10,orbit_step,0.2664087291093564,0.0903554656777753,0.0,0.3431123306183162,0.039109830152179115,,,0.0,D16,step_adjust,0.2968076675781105,0.22801171567777537,0.0,0.12122874243617883,0.735927963326628,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A07,spinning_kick,kick,True,standing_with_fallback,medium,D10,orbit_step,active_primary,evade,0.07397186903334241,0.4121686114522894,0.6565261571230923,0.8803353187519636,0.3371406249999924,A01,straight_punch,D16,step_adjust,fallback_mitigation,balance,0.5297540693080336,0.31067264427106134,0.4673341431284106,0.38051358790977213,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D10,orbit_step,0.4121686114522894,0.3371406249999924,0.4121686114522894,0.8803353187519636,0.07397186903334241,A01,straight_punch,0.044556397429346674,D16,step_adjust,0.31067264427106134,0.47479687499999246,0.31067264427106134,0.38051358790977213,0.5297540693080336,A01,straight_punch,0.044556397429346674,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A08,low_sweep,kick,True,standing_with_fallback,strong,D04,downward_block,active_primary,block,0.27841761697220274,0.5051084549308958,0.06262946798907171,0.01945537875825765,0.1466265228218864,,,D16,step_adjust,fallback_mitigation,balance,0.8995970222587282,0.5323499928786786,0.0453338857601274,0.021681525122885372,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D04,downward_block,0.5051084549308958,0.1466265228218864,0.0,0.01945537875825765,0.27841761697220274,,,0.0,D16,step_adjust,0.5323499928786786,0.1629025644885531,0.0,0.021681525122885372,0.8995970222587282,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A09,knee_strike,kick,True,standing_with_fallback,strong,D05,clamp_block,active_primary,block,0.20054953543852594,0.4934348944256467,0.12935362992929877,0.05254342702752766,0.0,,,D15,yield_buffer,fallback_mitigation,balance,0.853832883948304,0.4650913641808957,0.11837322385764244,0.019269167857168826,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D05,clamp_block,0.4934348944256467,0.0,0.0,0.05254342702752766,0.20054953543852594,,,0.0,D15,yield_buffer,0.4650913641808957,0.0,0.0,0.019269167857168826,0.853832883948304,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
A10,punch_kick_combo,combo,True,standing_with_fallback,medium,D20,slip_parry_combo,active_combo,combo,0.06134530587973868,0.20889914337402207,0.2515850200502787,0.11466309764675643,0.09117511674080786,,,D16,step_adjust,fallback_mitigation,balance,0.7414158904941817,0.17212209658312927,0.18851335529859004,0.11470213241140798,,,,,0.0,0.0,0.0,0.0,,,,,0.0,D20,slip_parry_combo,0.20889914337402207,0.09117511674080786,0.0,0.11466309764675643,0.06134530587973868,,,0.0,D16,step_adjust,0.17212209658312927,0.08128680965916181,0.0,0.11470213241140798,0.7414158904941817,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
