action_id,action_name,attack_category,attack_utility,conditional_flag,trigger_state,support_mode,phase_count,main_plane,rotation_complexity,support_switch_count,translation_distance_m,impact_impulse,impact_kinetic,score_potential,work_cost,peak_power_proxy,exec_time,exposure_index,com_shift_max,zmp_margin_norm,fall_risk,stable_margin_mode,range_tag_q1,end_velocity_peak,trajectory_type,direction_tag,height_tag,range_tag,target_zone,contact_mode_attack,attack_primary_plane,attack_entry_state,attack_trigger_state,defender_entry_state,semantic_source_type,contact_phase_policy,contact_phase_no,contact_phase_name,contact_phase_time_ratio,contact_fraction_in_phase,contact_phase_theta_deg,contact_translation_share,contact_support_mode,contact_strike_segments_json,contact_active_segments_json,contact_reach_m,contact_load_family,contact_window_type,contact_plane,attack_response_audit,recover_phase_policy,recover_delay_base_s,recover_switch_coeff,recover_rotation_coeff,recover_risk_coeff,counter_unlock_mode,counter_unlock_coeff,counter_unlock_audit,response_policy_source,t_contact,t_end,t_recover,opp_recover_time,attack_description,J_attack_norm,E_attack_norm,H_attack,R_attack,tau_norm,time_norm,impact_score,score_prob,energy_cost,balance_cost,defense_id,defense_name,defense_category,category,defense_role,is_primary_candidate,closure_group,entry_state,exit_state,coverage_direction,coverage_height,coverage_range,coverage_target_zone,contact_mode,support_mode_def,route_type,mechanism_tag,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,exec_time_def,effective_support_mass,balance_cost_def,mobility_cost,J_cap,E_cap,absorb_base,absorb_rate,clear_back_m,clear_lateral_m,clear_orbit_m,clear_drop_m,postdef_delay_s,counter_readiness_tag,force_capacity_factor,force_capacity,force_capacity_factor_input,force_capacity_factor_delta,contact_stiffness_ratio,contact_stiffness_ratio_input,contact_stiffness_ratio_delta,defense_source_type,defense_description,force_capacity_basis,stiffness_basis,active_segments_json,support_segments_json,defense_stable_margin,force_capacity_factor_audit,contact_stiffness_ratio_audit,state_feasible,attacker_entry_state,active_primary_feasible,fallback_feasible,ground_feasible,recovery_feasible,role_feasible,primary_role_feasible,direction_match,height_match,range_match,zone_match,p_geo,geo_covered,geo_cap_applied,geo_cap_reason,p_react,p_route,route_rule_hit,route_rule_specificity,route_rule_specificity_note,p_family,family_rule_hit,d_need,d_clear,p_clear,clearance_need_ratio,p_load_j,p_load_e,p_load,success_core,effective_absorb,family_damage_factor,p_success,residual_damage,defense_damage,p_fall,pair_audit_flag,base_counter_window,counter_window,counter_ready,counter_action_id,counter_action_ids,counter_action_names,counter_prob_effective,counter_prob,counter_tau_norm,p_block,exit_state_after_defense,counter_window_norm,defense_harm_safe,stability_safe,method1_score,method1_rank,method2_score,method2_rank,method3_score,method3_rank,sequence_combo_bonus,proposed_score,primary_score,score_def,proposed_utility,fallback_score,ground_score,recovery_score,rank,fallback_rank,ground_rank,recovery_rank
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D01,cross_block,block,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,rigid_high_cross,shoulder_pair,30.0,,0.0,,0.088828125,12.600000000000001,0.05378158817802791,0.42572301257047346,10.45906124272582,6.025605405078174,0.52,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,10.45906124272582,0.85,0.2593609954301702,0.48,0.5,-0.020000000000000018,derived_model,cross block for high straight attacks,double arm rigid frame,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,standing,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,False,,0.7133517433662523,1.0,True,4,direct_bypass,0.95,True,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.8459705084878683,0.6733303640757452,0.92,0.501638208936325,0.11151186086051519,0.11151186086051519,0.021436213640409176,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.501638208936325,standing,0.0,0.8884881391394848,0.9785637863595908,1.0,1,0.501638208936325,1,0.7208737114327068,1,0.0,0.21187987231887145,0.21187987231887145,0.21187987231887145,0.7610146032534485,0.0,0.0,0.0,1,8,1,1
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D02,single_parry,block,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,rigid_high_parry,elbow_single,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.0667026209604816,0.5280030155978912,10.45906124272582,6.025605405078174,0.52,0.52,0.0,0.0,0.0,0.0,0.06,fast,1.1093609954301702,10.45906124272582,0.55,0.5593609954301701,0.48,0.5,-0.020000000000000018,derived_model,single hand parry for line attacks,lever based single arm parry,rigid contact with structural dissipation,"[""S2"", ""S4"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,standing,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,False,,0.6789516828727458,1.0,True,4,direct_bypass,0.92,True,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.8459705084878683,0.6440551308550606,0.88,0.4623703458208333,0.11926496675136196,0.11926496675136196,0.02868110174680671,normal,0.015080244012411842,0.015080244012411842,0,,,,0.0,0.0,0.0,0.4623703458208333,standing,0.03024997754171839,0.880735033248638,0.9713188982531933,1.0,2,0.4623703458208333,2,0.6999308511044445,2,0.0,0.19589105975650176,0.19589105975650176,0.19589105975650176,0.7035871576189072,0.0,0.0,0.0,2,9,2,2
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D03,elbow_block,block,block,active_primary,1,active,standing,standing,front,high,close,head_torso,rigid,double_support,block_line,rigid_close_elbow,elbow_single,50.0,,0.0,,0.12138020833333332,12.600000000000001,0.0824213025869223,0.6524285805978177,10.45906124272582,6.025605405078174,0.52,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,10.45906124272582,0.65,0.45936099543017017,0.48,0.5,-0.020000000000000018,derived_model,elbow block at close range,short rigid chain support,rigid contact with structural dissipation,"[""S2"", ""S4"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,standing,True,False,False,False,True,True,1.0,0.5,0.5,1.0,0.7749999999999999,True,False,,0.6424922965013988,1.0,True,4,direct_bypass,0.88,True,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.8459705084878683,0.6001422810240337,0.82,0.3706871427137037,0.13912833296135338,0.13912833296135338,0.04148353853396939,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.3706871427137037,standing,0.0,0.8608716670386466,0.9585164614660306,0.5,3,0.3706871427137037,3,0.6510331427806421,3,0.0,0.14039067473845604,0.14039067473845604,0.14039067473845604,0.5042449406226786,0.0,0.0,0.0,3,10,3,3
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D04,downward_block,block,block,active_primary,1,active,standing,standing,front,low,middle,lower_limbs,rigid,double_support,block_line,rigid_low_block,shoulder_single,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.071070451904515,0.562577787576308,10.45906124272582,6.025605405078174,0.52,0.52,0.0,0.0,0.0,0.0,0.1,medium,1.1093609954301702,10.45906124272582,0.6,0.5093609954301702,0.48,0.5,-0.020000000000000018,derived_model,downward block for low line attacks,single shoulder support chain,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,standing,True,False,False,False,True,True,1.0,0.5,1.0,0.0,0.675,True,False,,0.6789516828727458,1.0,True,4,direct_bypass,0.2,True,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.8459705084878683,0.13173854949308056,0.18,0.07754036855380435,0.17470424253122005,0.17470424253122005,0.052433175732951524,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.07754036855380435,standing,0.0,0.8252957574687799,0.9475668242670485,0.5,4,0.07754036855380435,7,0.56,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11,4,4
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D05,clamp_block,block,block,active_primary,1,active,standing,standing,front,middle,close,torso_limbs,rigid,double_support,block_line,rigid_close_clamp,wrist_pair,60.0,,0.0,,0.13765624999999998,12.600000000000001,0.10389804999999999,0.822433705374812,10.45906124272582,6.025605405078174,0.52,0.52,0.0,0.0,0.0,0.0,0.18,slow,1.1093609954301702,10.45906124272582,0.7,0.40936099543017024,0.48,0.5,-0.020000000000000018,derived_model,close range clamp and catch,two hand close range constraint,rigid contact with structural dissipation,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK,True,standing,True,False,False,False,True,True,1.0,0.5,0.5,0.5,0.6749999999999999,True,False,,0.6043055201124738,1.0,True,4,direct_bypass,0.55,True,0.0,0.0,1.0,0.0,0.9058609075690367,0.7860801094066998,0.8459705084878683,0.8459705084878683,0.42449088169992627,0.58,0.1897921506188473,0.16406872691816743,0.16406872691816743,0.06732456544292248,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.1897921506188473,standing,0.0,0.8359312730818326,0.9326754345570776,0.5,5,0.1897921506188473,4,0.56,5,0.0,0.04499128129239427,0.04499128129239427,0.04499128129239427,0.16159638812254545,0.0,0.0,0.0,4,12,5,5
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D06,lateral_slip,evade,evade,active_primary,1,active,standing,off_line,lateral,all,middle,all,none,dynamic_step,evade_lateral,evade_lateral,hip_lateral,30.0,waist_turn,10.0,,0.128828125,11.592000000000002,0.0793303466125189,0.7387779588707346,0.0,0.0,0.0,0.0,0.0,0.09643336332501978,0.0,0.0,0.06,fast,0.0,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,lateral slip to leave the attack line,non contact evade route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,standing,True,False,False,False,True,True,0.0,1.0,1.0,1.0,0.65,True,False,,0.625209303080424,0.85,True,4,exact_match,0.9,True,0.2016,0.09643336332501978,0.1820707454860781,0.28,0.0,0.0,0.0,0.15476013366316638,0.11607010024737478,0.75,0.056603123057626194,0.2132895459467015,0.2132895459467015,0.07041814431623333,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.056603123057626194,off_line,0.0,0.7867104540532985,0.9295818556837667,0.5,6,0.056603123057626194,9,0.5555701513510996,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,13,6,6
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D07,duck_evade,evade,evade,active_primary,1,active,standing,crouched,front,high,middle,head_torso,none,quasi_single_support,evade_duck,evade_duck,knee_single,70.0,,0.0,,0.17393229166666666,10.836,0.14780610000000002,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23203741893102367,0.1,medium,0.0,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,duck under high line attacks,non contact vertical evade,noncontact baseline reference,"[""S2"", ""S7"", ""S8""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.0821145,OK,revisit,True,standing,True,False,False,False,True,True,1.0,0.5,1.0,1.0,0.875,True,False,,0.5151646184768143,0.48,True,0,weak_generic,0.42,True,0.1872,0.23203741893102367,0.6548742877579189,0.26,0.0,0.0,0.0,0.31433965812380105,0.0943018974371403,0.3,0.059511726243183974,0.21433287902700474,0.21433287902700474,0.17104173850890855,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.059511726243183974,crouched,0.0,0.7856671209729953,0.8289582614910914,0.5,7,0.059511726243183974,8,0.5552223736576651,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,14,7,7
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D08,back_step,evade,evade,active_primary,1,active,standing,off_line,front_lateral,middle_high,middle,head_torso,none,dynamic_step,evade_back,evade_back,step_back,50.0,torso_turn,10.0,,0.16138020833333333,11.592000000000002,0.12389634872246487,1.1538067779761212,0.0,0.0,0.0,0.0,0.1577668530603535,0.0,0.0,0.0,0.1,medium,0.0,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,backward step to break range against straight or mid-high entries,non contact backward route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,standing,True,False,False,False,True,True,1.0,1.0,1.0,1.0,1.0,True,False,,0.546415455900821,0.72,True,4,exact_match,0.7,True,0.2736,0.1577668530603535,0.1604667614035134,0.38,0.0,0.0,0.0,0.11553606821052964,0.06932164092631778,0.6,0.044191485368971425,0.21536928770258476,0.21536928770258476,0.11142437145927174,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.044191485368971425,off_line,0.0,0.7846307122974152,0.8885756285407282,0.5,8,0.044191485368971425,11,0.5548769040991385,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,15,8,8
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D09,spin_evade,evade,evade,active_primary,1,active,standing,off_line,spin,all,middle,all,none,single_support_rotational,evade_spin,evade_spin,waist_turn,120.0,,0.0,,0.2953125,9.576,0.0909576,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,medium,0.0,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,spin off the incoming line,rotational evade route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.050532,OK,revisit,True,standing,True,False,False,False,True,True,0.0,1.0,1.0,1.0,0.65,True,False,,0.2399187520248483,0.52,True,0,weak_generic,0.6,True,0.2736,0.0,0.019674304229519612,0.38,0.0,0.0,0.0,0.010230638199350198,0.004910706335688095,0.48,0.0009572635601902779,0.22367688154113377,0.22367688154113377,0.1816907358161774,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.0009572635601902779,off_line,0.0,0.7763231184588663,0.8183092641838225,0.5,9,0.0009572635601902779,13,0.5521077061529555,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,16,9,9
A01,straight_punch,punch,0.7229117505658991,0,standing,double_support,1,sagittal,0,0,0.0,6.189848589441434,4.537395999598549,0.019686536067839,68.32964021557801,227.76546738526005,0.3,0.5,0.0028717759631276,0.8734981180953779,0.0009220533953926,0.12633,mid,1.4660765716752369,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,standing,derived_from_q1_action_definition,first_strike,1,single_phase,1.0,0.6,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,point_contact,sagittal,normal,from_contact_to_end,0.06,0.04,0.04,0.2,immediate,1.0,immediate:1.00,derived_from_q1_phase_templates,0.18,0.3,0.1801844106790785,0.36018441067907847,straight punch,0.1578231408186748,0.3045457323393466,0.22384830700297714,0.00055323203723556,0.044556397429346674,1.0,6.189848589441434,0.019686536067839,68.32964021557801,0.0028717759631276,D10,orbit_step,evade,evade,active_primary,1,active,standing,off_line,spin,all,long,all,none,dynamic_step,evade_orbit,evade_orbit,waist_turn,90.0,hip_lateral,45.0,,0.22648437500000002,11.592000000000002,0.19328489999999998,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3241420613767649,0.0,0.1,medium,0.0,0.0,0.0,0.0,1.0,0.05,0.95,derived_model,orbit step around wide spin or large arc attacks,non contact orbit route,noncontact baseline reference,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,OK,revisit,True,standing,True,False,False,False,True,True,0.0,1.0,0.5,1.0,0.55,True,False,,0.38583738264019807,0.54,True,0,weak_generic,0.72,True,0.36,0.3241420613767649,0.37466475322502873,0.5,0.0,0.0,0.0,0.20231896674151553,0.12543775937973964,0.62,0.030912639352062194,0.21788964029457342,0.21788964029457342,0.17624290653845237,normal,0.0,0.0,0,,,,0.0,0.0,0.0,0.030912639352062194,off_line,0.0,0.7821103597054266,0.8237570934615477,0.5,10,0.030912639352062194,12,0.5540367865684755,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,17,10,10
