action_id,contact_phase_no,contact_phase_name,contact_phase_time_ratio,contact_fraction_in_phase,t_contact,t_end,t_recover,opp_recover_time,contact_phase_theta_deg,contact_translation_share,contact_support_mode,contact_strike_segments_json,contact_active_segments_json,contact_reach_m,contact_load_family,contact_plane,response_policy_source
A01,1,single_phase,1.0,0.6,0.18,0.3,0.1801844106790785,0.36018441067907847,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,sagittal,derived_from_q1_phase_templates
A02,1,single_phase,1.0,0.6,0.27,0.45,0.28032380580547683,0.5503238058054769,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,transverse,derived_from_q1_phase_templates
A03,1,straight_entry,0.45,0.6,0.21600000000000003,0.8,0.7042581037718549,0.9202581037718549,45.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,sequence_chain,multi_plane,derived_from_q1_phase_templates
A04,1,single_phase,1.0,0.62,0.341,0.55,0.3818270068331431,0.722827006833143,0.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,upper_terminal,transverse,derived_from_q1_phase_templates
A05,1,single_phase,1.0,0.6,0.36,0.6,0.3412355951643842,0.7012355951643842,0.0,0.0,single_support,"[""S10""]","[""S2"", ""S8"", ""S10""]",0.6865,lower_terminal,sagittal,derived_from_q1_phase_templates
A06,1,single_phase,1.0,0.6,0.39,0.65,0.41683984067777535,0.8068398406777754,0.0,0.0,single_support,"[""S10""]","[""S2"", ""S8"", ""S10""]",0.6865,lower_terminal,frontal,derived_from_q1_phase_templates
A07,2,kick_release,0.55,0.65,0.6863750000000001,0.85,0.6636249999999925,1.3499999999999925,180.0,0.0,single_support_rotational,"[""S10""]","[""S2"", ""S8"", ""S10""]",0.6865,lower_terminal,multi_plane,derived_from_q1_phase_templates
A08,1,single_phase,1.0,0.58,0.29,0.5,0.35173068948855307,0.641730689488553,0.0,0.0,single_support,"[""S10""]","[""S2"", ""S8"", ""S10""]",0.6865,sweep_line,transverse,derived_from_q1_phase_templates
A09,1,single_phase,1.0,0.6,0.21,0.35,0.23082348834772667,0.44082348834772667,0.0,0.0,quasi_single_support,"[""S8""]","[""S2"", ""S8"", ""S10""]",0.37071000000000004,lower_terminal,sagittal,derived_from_q1_phase_templates
A10,1,punch_setup,0.4,0.6,0.264,1.1,1.047487195010308,1.311487195010308,50.0,0.0,double_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,sequence_chain,multi_plane,derived_from_q1_phase_templates
A11,1,kick_1,0.2,0.58,0.1972,1.7,1.9138641645797136,2.1110641645797137,90.0,0.0,single_support,"[""S10""]","[""S2"", ""S8"", ""S10""]",0.6865,sequence_chain,multi_plane,derived_from_q1_phase_templates
A12,2,body_impact,0.2,0.6,0.42750000000000005,0.75,0.7224999999999999,1.15,12.0,0.2,dynamic_double_support,"[""S2""]","[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",0.267775,torso_drive,sagittal,derived_from_q1_phase_templates
A13,2,counter_strike,0.4,0.6,1.5959999999999999,1.9,0.8038657729290434,2.399865772929043,50.0,0.4,quasi_single_support,"[""S6""]","[""S2"", ""S4"", ""S6""]",0.72,ground_conditional,multi_plane,derived_from_q1_phase_templates
