action_id,defense_id,contact_load_family,mechanism_tag,family_rule_hit,p_family,family_damage_factor,route_rule_hit,route_rule_specificity,route_rule_specificity_note,geo_cap_applied,geo_cap_reason
A01,D01,upper_terminal,rigid_high_cross,True,0.95,0.92,True,4,direct_bypass,False,
A01,D02,upper_terminal,rigid_high_parry,True,0.92,0.88,True,4,direct_bypass,False,
A01,D03,upper_terminal,rigid_close_elbow,True,0.88,0.82,True,4,direct_bypass,False,
A01,D04,upper_terminal,rigid_low_block,True,0.2,0.18,True,4,direct_bypass,False,
A01,D05,upper_terminal,rigid_close_clamp,True,0.55,0.58,True,4,direct_bypass,False,
A01,D06,upper_terminal,evade_lateral,True,0.9,0.75,True,4,exact_match,False,
A01,D07,upper_terminal,evade_duck,True,0.42,0.3,True,0,weak_generic,False,
A01,D08,upper_terminal,evade_back,True,0.7,0.6,True,4,exact_match,False,
A01,D09,upper_terminal,evade_spin,True,0.6,0.48,True,0,weak_generic,False,
A01,D10,upper_terminal,evade_orbit,True,0.72,0.62,True,0,weak_generic,False,
A01,D11,upper_terminal,posture_high_cover,True,0.86,0.78,True,4,direct_bypass,False,
A01,D12,upper_terminal,posture_torso_sink,True,0.3,0.35,True,4,direct_bypass,False,
A01,D13,upper_terminal,posture_body_turn,True,0.58,0.56,True,4,direct_bypass,False,
A01,D14,upper_terminal,balance_micro_comp,True,0.28,0.3,True,4,direct_bypass,False,
A01,D15,upper_terminal,balance_soft_yield,True,0.4,0.46,True,0,weak_generic,False,
A01,D16,upper_terminal,balance_step_reset,True,0.36,0.42,True,0,weak_generic,False,
A01,D17,upper_terminal,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A01,D18,upper_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A01,D19,upper_terminal,ground_hold,True,0.05,0.06,False,0,default_like,False,
A01,D20,upper_terminal,combo_lateral_parry,True,0.72,0.62,True,0,weak_generic,False,
A01,D21,upper_terminal,combo_duck_slip,True,0.62,0.54,True,0,weak_generic,False,
A01,D22,upper_terminal,combo_block_retreat,True,0.6,0.58,True,0,weak_generic,False,
A02,D01,upper_terminal,rigid_high_cross,True,0.95,0.92,True,4,direct_bypass,True,arc_vs_high_rigid
A02,D02,upper_terminal,rigid_high_parry,True,0.92,0.88,True,4,direct_bypass,True,arc_vs_high_rigid
A02,D03,upper_terminal,rigid_close_elbow,True,0.88,0.82,True,4,direct_bypass,False,
A02,D04,upper_terminal,rigid_low_block,True,0.2,0.18,True,4,direct_bypass,False,
A02,D05,upper_terminal,rigid_close_clamp,True,0.55,0.58,True,4,direct_bypass,False,
A02,D06,upper_terminal,evade_lateral,True,0.9,0.75,True,4,exact_match,False,
A02,D07,upper_terminal,evade_duck,True,0.42,0.3,True,0,weak_generic,False,
A02,D08,upper_terminal,evade_back,True,0.7,0.6,True,0,weak_generic,False,
A02,D09,upper_terminal,evade_spin,True,0.6,0.48,True,0,weak_generic,False,
A02,D10,upper_terminal,evade_orbit,True,0.72,0.62,True,0,weak_generic,False,
A02,D11,upper_terminal,posture_high_cover,True,0.86,0.78,True,4,direct_bypass,False,
A02,D12,upper_terminal,posture_torso_sink,True,0.3,0.35,True,4,direct_bypass,False,
A02,D13,upper_terminal,posture_body_turn,True,0.58,0.56,True,4,direct_bypass,False,
A02,D14,upper_terminal,balance_micro_comp,True,0.28,0.3,True,4,direct_bypass,False,
A02,D15,upper_terminal,balance_soft_yield,True,0.4,0.46,True,0,weak_generic,False,
A02,D16,upper_terminal,balance_step_reset,True,0.36,0.42,True,0,weak_generic,False,
A02,D17,upper_terminal,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A02,D18,upper_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A02,D19,upper_terminal,ground_hold,True,0.05,0.06,False,0,default_like,False,
A02,D20,upper_terminal,combo_lateral_parry,True,0.72,0.62,True,0,weak_generic,False,
A02,D21,upper_terminal,combo_duck_slip,True,0.62,0.54,True,0,weak_generic,False,
A02,D22,upper_terminal,combo_block_retreat,True,0.6,0.58,True,0,weak_generic,False,
A03,D01,sequence_chain,rigid_high_cross,True,0.38,0.3,True,4,direct_bypass,False,
A03,D02,sequence_chain,rigid_high_parry,True,0.42,0.34,True,4,direct_bypass,False,
A03,D03,sequence_chain,rigid_close_elbow,True,0.62,0.54,True,4,direct_bypass,False,
A03,D04,sequence_chain,rigid_low_block,True,0.26,0.24,True,4,direct_bypass,False,
A03,D05,sequence_chain,rigid_close_clamp,True,0.5,0.46,True,4,direct_bypass,False,
A03,D06,sequence_chain,evade_lateral,True,0.74,0.62,True,0,weak_generic,False,
A03,D07,sequence_chain,evade_duck,True,0.46,0.38,True,0,weak_generic,False,
A03,D08,sequence_chain,evade_back,True,0.7,0.6,True,0,weak_generic,False,
A03,D09,sequence_chain,evade_spin,True,0.38,0.3,True,0,weak_generic,False,
A03,D10,sequence_chain,evade_orbit,True,0.62,0.54,True,0,weak_generic,False,
