scope,diagnostic_type,rank,mdp_action_id,mdp_action_name,macro_group,count,share,cumulative_share
overall,action,1,A04,swing_punch,激进攻击,1888,0.4767676767676768,0.4767676767676768
overall,action,2,A02,hook_punch,试探攻击,1077,0.271969696969697,0.7487373737373737
overall,action,3,D01,cross_block,保守防守,443,0.11186868686868687,0.8606060606060606
overall,action,4,D15,yield_buffer,平衡恢复,379,0.09570707070707071,0.9563131313131313
overall,action,5,D06,lateral_slip,反击防守,119,0.03005050505050505,0.9863636363636363
overall,action,6,D03,elbow_block,保守防守,40,0.010101010101010102,0.9964646464646464
overall,action,7,D04,downward_block,保守防守,14,0.0035353535353535356,0.9999999999999999
overall,macro,1,,,激进攻击,1888,0.4767676767676768,0.4767676767676768
overall,macro,2,,,试探攻击,1077,0.271969696969697,0.7487373737373737
overall,macro,3,,,保守防守,497,0.1255050505050505,0.8742424242424243
overall,macro,4,,,平衡恢复,379,0.09570707070707071,0.969949494949495
overall,macro,5,,,反击防守,119,0.03005050505050505,1.0
time_phase:early,action,1,A02,hook_punch,试探攻击,681,0.6878787878787879,0.6878787878787879
time_phase:early,action,2,A04,swing_punch,激进攻击,207,0.20909090909090908,0.896969696969697
time_phase:early,action,3,D15,yield_buffer,平衡恢复,62,0.06262626262626263,0.9595959595959596
time_phase:early,action,4,D06,lateral_slip,反击防守,40,0.04040404040404041,1.0
time_phase:early,macro,1,,,试探攻击,681,0.6878787878787879,0.6878787878787879
time_phase:early,macro,2,,,激进攻击,207,0.20909090909090908,0.896969696969697
time_phase:early,macro,3,,,平衡恢复,62,0.06262626262626263,0.9595959595959596
time_phase:early,macro,4,,,反击防守,40,0.04040404040404041,1.0
time_phase:endgame,action,1,A04,swing_punch,激进攻击,643,0.6494949494949495,0.6494949494949495
time_phase:endgame,action,2,D01,cross_block,保守防守,220,0.2222222222222222,0.8717171717171717
time_phase:endgame,action,3,D15,yield_buffer,平衡恢复,88,0.08888888888888889,0.9606060606060606
time_phase:endgame,action,4,D03,elbow_block,保守防守,32,0.03232323232323232,0.9929292929292929
time_phase:endgame,action,5,D06,lateral_slip,反击防守,7,0.007070707070707071,1.0
time_phase:endgame,macro,1,,,激进攻击,643,0.6494949494949495,0.6494949494949495
time_phase:endgame,macro,2,,,保守防守,252,0.2545454545454545,0.904040404040404
time_phase:endgame,macro,3,,,平衡恢复,88,0.08888888888888889,0.9929292929292929
time_phase:endgame,macro,4,,,反击防守,7,0.007070707070707071,1.0
time_phase:late,action,1,A04,swing_punch,激进攻击,559,0.5646464646464646,0.5646464646464646
time_phase:late,action,2,D01,cross_block,保守防守,177,0.1787878787878788,0.7434343434343434
time_phase:late,action,3,D15,yield_buffer,平衡恢复,122,0.12323232323232323,0.8666666666666667
time_phase:late,action,4,A02,hook_punch,试探攻击,72,0.07272727272727272,0.9393939393939394
time_phase:late,action,5,D06,lateral_slip,反击防守,38,0.03838383838383838,0.9777777777777779
time_phase:late,action,6,D04,downward_block,保守防守,14,0.014141414141414142,0.991919191919192
time_phase:late,action,7,D03,elbow_block,保守防守,8,0.00808080808080808,1.0
time_phase:late,macro,1,,,激进攻击,559,0.5646464646464646,0.5646464646464646
time_phase:late,macro,2,,,保守防守,199,0.201010101010101,0.7656565656565656
time_phase:late,macro,3,,,平衡恢复,122,0.12323232323232323,0.8888888888888888
time_phase:late,macro,4,,,试探攻击,72,0.07272727272727272,0.9616161616161616
time_phase:late,macro,5,,,反击防守,38,0.03838383838383838,1.0
time_phase:mid,action,1,A04,swing_punch,激进攻击,479,0.48383838383838385,0.48383838383838385
time_phase:mid,action,2,A02,hook_punch,试探攻击,324,0.32727272727272727,0.8111111111111111
time_phase:mid,action,3,D15,yield_buffer,平衡恢复,107,0.10808080808080808,0.9191919191919192
time_phase:mid,action,4,D01,cross_block,保守防守,46,0.046464646464646465,0.9656565656565657
time_phase:mid,action,5,D06,lateral_slip,反击防守,34,0.03434343434343434,1.0
time_phase:mid,macro,1,,,激进攻击,479,0.48383838383838385,0.48383838383838385
time_phase:mid,macro,2,,,试探攻击,324,0.32727272727272727,0.8111111111111111
time_phase:mid,macro,3,,,平衡恢复,107,0.10808080808080808,0.9191919191919192
time_phase:mid,macro,4,,,保守防守,46,0.046464646464646465,0.9656565656565657
time_phase:mid,macro,5,,,反击防守,34,0.03434343434343434,1.0
score_sign:lead,action,1,A02,hook_punch,试探攻击,742,0.4122222222222222,0.4122222222222222
score_sign:lead,action,2,D01,cross_block,保守防守,443,0.2461111111111111,0.6583333333333333
score_sign:lead,action,3,A04,swing_punch,激进攻击,381,0.21166666666666667,0.87
score_sign:lead,action,4,D15,yield_buffer,平衡恢复,162,0.09,0.96
score_sign:lead,action,5,D03,elbow_block,保守防守,40,0.022222222222222223,0.9822222222222222
score_sign:lead,action,6,D06,lateral_slip,反击防守,18,0.01,0.9922222222222222
score_sign:lead,action,7,D04,downward_block,保守防守,14,0.0077777777777777776,1.0
score_sign:lead,macro,1,,,试探攻击,742,0.4122222222222222,0.4122222222222222
score_sign:lead,macro,2,,,保守防守,497,0.2761111111111111,0.6883333333333332
score_sign:lead,macro,3,,,激进攻击,381,0.21166666666666667,0.8999999999999999
score_sign:lead,macro,4,,,平衡恢复,162,0.09,0.9899999999999999
score_sign:lead,macro,5,,,反击防守,18,0.01,0.9999999999999999
score_sign:tie,action,1,A04,swing_punch,激进攻击,318,0.8833333333333333,0.8833333333333333
score_sign:tie,action,2,D15,yield_buffer,平衡恢复,40,0.1111111111111111,0.9944444444444445
score_sign:tie,action,3,A02,hook_punch,试探攻击,2,0.005555555555555556,1.0
score_sign:tie,macro,1,,,激进攻击,318,0.8833333333333333,0.8833333333333333
score_sign:tie,macro,2,,,平衡恢复,40,0.1111111111111111,0.9944444444444445
score_sign:tie,macro,3,,,试探攻击,2,0.005555555555555556,1.0
score_sign:trail,action,1,A04,swing_punch,激进攻击,1189,0.6605555555555556,0.6605555555555556
score_sign:trail,action,2,A02,hook_punch,试探攻击,333,0.185,0.8455555555555556
score_sign:trail,action,3,D15,yield_buffer,平衡恢复,177,0.09833333333333333,0.943888888888889
score_sign:trail,action,4,D06,lateral_slip,反击防守,101,0.05611111111111111,1.0
score_sign:trail,macro,1,,,激进攻击,1189,0.6605555555555556,0.6605555555555556
score_sign:trail,macro,2,,,试探攻击,333,0.185,0.8455555555555556
score_sign:trail,macro,3,,,平衡恢复,177,0.09833333333333333,0.943888888888889
score_sign:trail,macro,4,,,反击防守,101,0.05611111111111111,1.0
health_my:0,action,1,A04,swing_punch,激进攻击,523,0.39621212121212124,0.39621212121212124
health_my:0,action,2,D15,yield_buffer,平衡恢复,379,0.2871212121212121,0.6833333333333333
health_my:0,action,3,A02,hook_punch,试探攻击,354,0.2681818181818182,0.9515151515151515
health_my:0,action,4,D01,cross_block,保守防守,64,0.048484848484848485,1.0
health_my:0,macro,1,,,激进攻击,523,0.39621212121212124,0.39621212121212124
health_my:0,macro,2,,,平衡恢复,379,0.2871212121212121,0.6833333333333333
health_my:0,macro,3,,,试探攻击,354,0.2681818181818182,0.9515151515151515
health_my:0,macro,4,,,保守防守,64,0.048484848484848485,1.0
health_my:1,action,1,A04,swing_punch,激进攻击,601,0.4553030303030303,0.4553030303030303
health_my:1,action,2,A02,hook_punch,试探攻击,369,0.27954545454545454,0.7348484848484849
health_my:1,action,3,D01,cross_block,保守防守,220,0.16666666666666666,0.9015151515151515
health_my:1,action,4,D06,lateral_slip,反击防守,116,0.08787878787878788,0.9893939393939394
health_my:1,action,5,D04,downward_block,保守防守,14,0.010606060606060607,1.0
health_my:1,macro,1,,,激进攻击,601,0.4553030303030303,0.4553030303030303
health_my:1,macro,2,,,试探攻击,369,0.27954545454545454,0.7348484848484849
health_my:1,macro,3,,,保守防守,234,0.17727272727272728,0.9121212121212121
health_my:1,macro,4,,,反击防守,116,0.08787878787878788,1.0
