scenario,method,match_count,mean_final_score_diff,mean_score_gain,tie_or_better_rate,reverse_win_rate,counter_ready_entry_rate,counter_ready_step_rate,counter_ready_attack_rate,counter_ready_focus_attack_rate,counter_ready_mean_delta_score,counter_ready_mean_role_score
平局局,greedy,1000,4.479,4.479,1.0,0.0,0.0,0.0,,,,
平局局,mdp,1000,4.312,4.312,1.0,0.0,0.1378,0.13765,1.0,1.0,0.32110424990918995,0.9330162073796986
平局局,rule,1000,3.625,3.625,0.994,0.0,0.52935,0.49755,0.0023113254949251334,1.0,0.21304391518440358,1.0
平局局,static,1000,4.346,4.346,1.0,0.0,0.00035,0.00035,1.0,1.0,0.14285714285714285,1.0
落后局,greedy,1000,3.051,5.051,0.972,0.914,0.0,0.0,,,,
落后局,mdp,1000,2.979,4.979,0.977,0.92,0.0529,0.05215,0.9693192713326941,1.0,0.31351869606903165,0.877753204029374
落后局,rule,1000,2.457,4.457,0.955,0.798,0.32405,0.2999,0.009003001000333445,1.0,0.2110703567855952,0.9455063885686497
落后局,static,1000,3.102,5.102,0.986,0.935,0.00025,0.00025,1.0,1.0,0.2,1.0
领先局,greedy,1000,4.91,2.91,1.0,0.0,0.0,0.0,,,,
领先局,mdp,1000,4.679,2.679,1.0,0.0,0.2748,0.2748,1.0,1.0,0.30094614264919944,0.9500276925738708
领先局,rule,1000,4.211,2.211,0.998,0.0,0.663,0.63095,0.0006339646564704018,1.0,0.21911403439258262,1.0
领先局,static,1000,4.918,2.918,1.0,0.0,0.00015,0.00015,1.0,1.0,0.3333333333333333,1.0
