scenario,method,step_count,adjusted_step_count,adjusted_step_rate,mean_execution_q_loss,p90_execution_q_loss,adjusted_probe_rate,adjusted_counter_defense_rate,adjusted_defense_rate
平局局,greedy,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
平局局,mdp,20000,551,0.02755,0.019661412326593474,0.02061009840454986,0.969147005444646,0.0,0.003629764065335753
平局局,rule,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
平局局,static,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
落后局,greedy,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
落后局,mdp,20000,1426,0.0713,0.030115104431058796,0.0325899776521954,0.9593267882187938,0.0,0.012622720897615708
落后局,rule,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
落后局,static,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
领先局,greedy,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
领先局,mdp,20000,330,0.0165,0.009902325010257779,0.013500412161484485,0.7242424242424242,0.24545454545454545,0.24545454545454545
领先局,rule,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
领先局,static,20000,0,0.0,0.0,0.0,0.0,0.0,0.0
