dimension,group_value,state_count,different_count,different_share,macro_different_share,attack_vs_defense_switch_rate
overall,all,3960,1099,0.2775252525252525,0.26994949494949494,0.1462121212121212
time_phase,early,990,309,0.31212121212121213,0.31212121212121213,0.10303030303030303
time_phase,endgame,990,142,0.14343434343434344,0.1191919191919192,0.11818181818181818
time_phase,late,990,359,0.36262626262626263,0.3565656565656566,0.24141414141414141
time_phase,mid,990,289,0.2919191919191919,0.2919191919191919,0.12222222222222222
score_diff,-5,360,8,0.022222222222222223,0.022222222222222223,0.022222222222222223
score_diff,-4,360,14,0.03888888888888889,0.03888888888888889,0.03888888888888889
score_diff,-3,360,43,0.11944444444444445,0.11944444444444445,0.03888888888888889
score_diff,-2,360,129,0.35833333333333334,0.35833333333333334,0.18055555555555555
score_diff,-1,360,269,0.7472222222222222,0.7472222222222222,0.28055555555555556
score_diff,0,360,262,0.7277777777777777,0.7277777777777777,0.1111111111111111
score_diff,1,360,18,0.05,0.05,0.05
score_diff,2,360,87,0.24166666666666667,0.24166666666666667,0.2222222222222222
score_diff,3,360,105,0.2916666666666667,0.2638888888888889,0.2638888888888889
score_diff,4,360,89,0.24722222222222223,0.21944444444444444,0.21944444444444444
score_diff,5,360,75,0.20833333333333334,0.18055555555555555,0.18055555555555555
health_my,0,1320,299,0.2265151515151515,0.2265151515151515,0.13484848484848486
health_my,1,1320,414,0.31363636363636366,0.31363636363636366,0.21136363636363636
health_my,2,1320,386,0.2924242424242424,0.2696969696969697,0.09242424242424242
score_sign,lead,1800,374,0.20777777777777778,0.19111111111111112,0.18722222222222223
score_sign,tie,360,262,0.7277777777777777,0.7277777777777777,0.1111111111111111
score_sign,trail,1800,463,0.25722222222222224,0.25722222222222224,0.11222222222222222
