state_index,score_diff,time_step,time_phase,time_phase_name,health_my,health_my_name,health_opp,health_opp_name,recovery_lock,recovery_name,counter_ready,counter_ready_name,greedy_action_id,greedy_expected_reward,static_action_id,static_action_prob,rule_action_id,rule_expected_reward,mdp_action_id,mdp_value,mdp_immediate_reward,top1_action_id,top1_q,top2_action_id,top2_q,top3_action_id,top3_q,q_gap_12,q_gap_23,greedy_action_name,greedy_action_type,greedy_macro_group,static_action_name,static_action_type,static_macro_group,rule_action_name,rule_action_type,rule_macro_group,mdp_action_name,mdp_action_type,mdp_macro_group
0,-5,1,early,前期,0,Low,0,Low,0,Normal,0,Normal,A02,0.0538039899236329,A04,1.0,A01,0.05090328735256082,A02,-2.9672133619854484,0.0538039899236329,A02,-2.9672133619854484,A03,-2.9690464435752064,A10,-2.969697297542,0.0018330815897580344,0.0006508539667935409,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
1,-5,1,early,前期,0,Low,0,Low,0,Normal,1,CounterReady,A02,0.04731863832290556,A04,1.0,A01,0.04617513317822064,A02,-2.973698618283247,0.04731863832290556,A02,-2.973698618283247,A01,-2.974841889610655,A03,-2.9757346568159173,0.0011432713274079909,0.0008927672052623237,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
2,-5,1,early,前期,0,Low,0,Low,1,Recover,0,Normal,D15,0.0499765626258781,D19,0.0,D16,0.015193081740643585,D15,-2.9712118317437928,0.0499765626258781,D15,-2.9712118317437928,D16,-3.0062019601699013,D14,-3.0349163221941664,0.03499012842610849,0.02871436202426514,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
3,-5,1,early,前期,0,Low,0,Low,1,Recover,1,CounterReady,D15,0.0499765626258781,D19,0.0,D16,0.015193081740643585,D15,-2.9712118317437928,0.0499765626258781,D15,-2.9712118317437928,D16,-3.0062019601699013,D14,-3.0349163221941664,0.03499012842610849,0.02871436202426514,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
4,-5,1,early,前期,0,Low,1,Mid,0,Normal,0,Normal,A02,0.05407201198450689,A04,1.0,A01,0.05105168593867388,D15,-2.926985476551933,0.051796363148257425,D15,-2.926985476551933,A02,-2.931719211317359,A03,-2.933772472417107,0.004733734765425712,0.002053261099748127,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,yield_buffer,defense,平衡恢复
5,-5,1,early,前期,0,Low,1,Mid,0,Normal,1,CounterReady,A02,0.04759202082499703,A04,1.0,A01,0.046347275538111785,A02,-2.938170524053368,0.04759202082499703,A02,-2.938170524053368,A01,-2.9395240833705576,A03,-2.940431140583873,0.00135355931718939,0.0009070572133151877,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
6,-5,1,early,前期,0,Low,1,Mid,1,Recover,0,Normal,D15,0.051796363148257425,D19,0.0,D16,-0.0225307223294174,D15,-2.926985476551933,0.051796363148257425,D15,-2.926985476551933,D16,-3.00513112929043,D14,-3.020558581419039,0.07814565273849672,0.015427452128609076,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
7,-5,1,early,前期,0,Low,1,Mid,1,Recover,1,CounterReady,D15,0.05811149636429578,D19,0.0,D16,-0.01907166994716296,D15,-2.920670343335895,0.05811149636429578,D15,-2.920670343335895,D16,-3.0016720769081755,D14,-3.020558581419039,0.08100173357228035,0.01888650451086349,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
8,-5,1,early,前期,0,Low,2,High,0,Normal,0,Normal,A02,0.05407201198450689,A04,1.0,A01,0.05105168593867388,D15,-2.955690494541504,0.04858673456518,D15,-2.955690494541504,A02,-2.9562216009936866,A03,-2.958258191254299,0.0005311064521826836,0.0020365902606123143,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,yield_buffer,defense,平衡恢复
9,-5,1,early,前期,0,Low,2,High,0,Normal,1,CounterReady,A02,0.04759202082499703,A04,1.0,A01,0.046347275538111785,A02,-2.9626714078154537,0.04759202082499703,A02,-2.9626714078154537,A01,-2.9640994400162035,A03,-2.964915020433126,0.0014280322007498292,0.0008155804169223124,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
