scenario,method,step_count,defense_use_rate,probe_attack_rate,counter_defense_rate,attack_defense_switch_rate,late_lead_defense_rate,late_trail_aggressive_rate,counter_ready_step_rate,counter_ready_conversion_rate
平局局,greedy,20000,0.00205,0.6965,0.0,0.05305,0.026200873362445413,,0.0,
平局局,mdp,20000,0.024,0.1642,0.00075,0.06935,0.3381294964028777,,0.00095,0.0
平局局,rule,20000,0.63325,0.02145,0.0,0.11685,1.0,0.0,0.02495,0.006012024048096192
平局局,static,20000,0.0086,0.0,0.0,0.063,0.007739938080495356,,0.0001,0.0
落后局,greedy,20000,0.0064,0.4187,0.0,0.0597,0.0,0.9889358932639115,0.00065,0.0
落后局,mdp,20000,0.05735,0.07115,0.0075,0.0796,0.47368421052631576,0.7834467120181405,0.0039,0.0
落后局,rule,20000,0.04795,0.00725,0.0,0.07345,,0.9698932926829268,0.00195,0.07692307692307693
落后局,static,20000,0.0101,0.0,0.0,0.06435,0.043478260869565216,0.9916635089048882,0.0002,0.0
领先局,greedy,20000,0.026,0.3501,0.0,0.0643,0.08954326923076923,,0.0007,0.0
领先局,mdp,20000,0.4133,0.3673,0.0213,0.1256,0.7931411096548712,,0.0161,0.0
领先局,rule,20000,0.9982,0.00135,0.0,0.05065,1.0,,0.03315,0.0
领先局,static,20000,0.0087,0.0,0.0,0.06355,0.006218655967903711,,0.00015,0.0
