scenario,method,match_count,mean_max_same_action_run,p90_max_same_action_run,mean_max_same_macro_run,p90_max_same_macro_run,mean_unique_action_count,mean_unique_macro_count,mean_dominant_action_share,mean_dominant_macro_share
平局局,greedy,1000,13.958,14.0,13.958,14.0,2.037,2.037,0.6982999999999998,0.6982999999999998
平局局,mdp,1000,14.956,20.0,14.956,20.0,1.744,1.735,0.8460500000000001,0.8460500000000001
平局局,rule,1000,7.304,9.0,7.437,9.0,3.807,2.98,0.42849999999999994,0.44735
平局局,static,1000,19.247,20.0,19.247,20.0,1.167,1.146,0.9913999999999998,0.9913999999999998
落后局,greedy,1000,11.6,13.0,11.6,13.0,2.095,2.095,0.6352500000000001,0.6352500000000001
落后局,mdp,1000,14.42,16.0,14.42,16.0,2.218,2.217,0.88875,0.88875
落后局,rule,1000,18.081,20.0,18.084,20.0,1.404,1.342,0.94655,0.9469000000000001
落后局,static,1000,19.06,20.0,19.06,20.0,1.191,1.164,0.9899000000000001,0.9899000000000001
领先局,greedy,1000,12.284,13.0,12.284,13.0,2.244,2.244,0.6247500000000001,0.6247500000000001
领先局,mdp,1000,7.117,7.0,7.117,7.0,4.209,4.209,0.38465,0.38465
领先局,rule,1000,7.731,12.0,8.117,12.0,2.981,2.01,0.58845,0.6219
领先局,static,1000,19.196,20.0,19.196,20.0,1.167,1.146,0.9913,0.9913
