scenario,match_index,match_seed,action_diff_steps,macro_diff_steps,fall_diff_steps,score_path_l1,final_score_gap,reward_gap,win_gap,mdp_unique_action_count,mdp_unique_macro_count,mdp_has_probe_attack,mdp_has_counter_defense,mdp_non_dominant_macro_share,is_scenario_representative,is_plot_sample
领先局,0,3658676649,10,10,0,0.0,0,-0.501878782716016,0,4,4,1,0,0.6,False,False
领先局,1,768519171,10,10,1,3.0,1,0.3592748383505153,0,4,4,1,0,0.65,False,False
领先局,2,113462462,10,10,1,7.0,1,-0.5325504875634781,0,4,4,1,0,0.65,False,False
领先局,3,2748406118,10,10,0,0.0,0,-0.7216532594216538,0,5,5,1,1,0.65,False,False
领先局,4,1569714665,10,10,0,0.0,0,-0.7133274039080106,0,4,4,1,0,0.55,False,False
领先局,5,2006902500,9,9,1,0.0,0,-0.5027675004586545,0,4,4,1,0,0.65,False,False
领先局,6,342858866,10,10,2,0.0,0,-0.8098770059365261,0,4,4,1,0,0.6,False,False
领先局,7,1591287646,10,10,2,0.0,0,-1.8869037012520202,0,4,4,1,0,0.65,False,False
领先局,8,2763601433,9,9,1,8.0,1,0.16588620194739434,0,4,4,1,0,0.65,False,False
领先局,9,1524358342,11,11,0,0.0,0,-1.073884530657356,0,4,4,1,0,0.6,False,False
领先局,10,3569380135,5,5,0,18.0,-2,-0.2636221884992036,0,3,3,1,0,0.5,False,False
领先局,11,3395250011,4,4,0,0.0,0,-0.41034843383812003,0,3,3,1,0,0.55,False,False
领先局,12,3025492827,5,5,1,0.0,0,-0.8335097759711836,0,4,4,1,0,0.6,False,False
领先局,13,3887563175,4,4,0,0.0,0,-0.6621375802165286,0,3,3,1,0,0.55,False,False
领先局,14,3097567254,10,10,0,6.0,1,-0.2854333127777622,0,4,4,1,0,0.65,False,False
领先局,15,761726157,4,4,0,0.0,0,-0.6336740394373308,0,3,3,1,0,0.55,False,False
领先局,16,3687035726,10,10,0,5.0,1,-0.3057542405285165,0,5,5,1,1,0.65,False,False
领先局,17,2803689377,4,4,0,0.0,0,-0.6213101326786141,0,3,3,1,0,0.55,False,False
