state_index,score_diff,time_step,time_phase,health_my,health_opp,recovery_lock,counter_ready,top1_action_id,top1_q,top2_action_id,top2_q,top3_action_id,top3_q,q_gap_12,q_gap_23
0,-5,1,early,0,0,0,0,A02,-2.9672133619854484,A03,-2.9690464435752064,A10,-2.969697297542,0.0018330815897580344,0.0006508539667935409
1,-5,1,early,0,0,0,1,A02,-2.973698618283247,A01,-2.974841889610655,A03,-2.9757346568159173,0.0011432713274079909,0.0008927672052623237
2,-5,1,early,0,0,1,0,D15,-2.9712118317437928,D16,-3.0062019601699013,D14,-3.0349163221941664,0.03499012842610849,0.02871436202426514
3,-5,1,early,0,0,1,1,D15,-2.9712118317437928,D16,-3.0062019601699013,D14,-3.0349163221941664,0.03499012842610849,0.02871436202426514
4,-5,1,early,0,1,0,0,D15,-2.926985476551933,A02,-2.931719211317359,A03,-2.933772472417107,0.004733734765425712,0.002053261099748127
5,-5,1,early,0,1,0,1,A02,-2.938170524053368,A01,-2.9395240833705576,A03,-2.940431140583873,0.00135355931718939,0.0009070572133151877
6,-5,1,early,0,1,1,0,D15,-2.926985476551933,D16,-3.00513112929043,D14,-3.020558581419039,0.07814565273849672,0.015427452128609076
7,-5,1,early,0,1,1,1,D15,-2.920670343335895,D16,-3.0016720769081755,D14,-3.020558581419039,0.08100173357228035,0.01888650451086349
8,-5,1,early,0,2,0,0,D15,-2.955690494541504,A02,-2.9562216009936866,A03,-2.958258191254299,0.0005311064521826836,0.0020365902606123143
9,-5,1,early,0,2,0,1,A02,-2.9626714078154537,A01,-2.9640994400162035,A03,-2.964915020433126,0.0014280322007498292,0.0008155804169223124
10,-5,1,early,0,2,1,0,D15,-2.955690494541504,D16,-3.034831340955887,D14,-3.0470038067238328,0.07914084641438324,0.012172465767945617
11,-5,1,early,0,2,1,1,D15,-2.949516072090506,D16,-3.0313252078110944,D14,-3.0470038067238328,0.08180913572058834,0.015678598912738373
12,-5,1,early,1,0,0,0,A02,-3.0371167191041306,A03,-3.039432730892458,A01,-3.039856489816066,0.002316011788327188,0.0004237589236080197
13,-5,1,early,1,0,0,1,A02,-3.0435737962825398,A01,-3.044555642406158,A03,-3.0460736495035388,0.0009818461236181797,0.0015180070973808135
14,-5,1,early,1,0,1,0,D15,-3.1056461592820517,D16,-3.1308643812595376,D14,-3.152154462607926,0.02521822197748591,0.0212900813483885
15,-5,1,early,1,0,1,1,D15,-3.1056461592820517,D16,-3.1308643812595376,D14,-3.152154462607926,0.02521822197748591,0.0212900813483885
16,-5,1,early,1,1,0,0,A02,-3.0233234724385447,A03,-3.0256015900614144,A01,-3.026205513833213,0.0022781176228696687,0.0006039237717985202
17,-5,1,early,1,1,0,1,A02,-3.029774522139443,A01,-3.0308760649310837,A03,-3.0322367059141286,0.0011015427916407639,0.0013606409830448918
18,-5,1,early,1,1,1,0,D15,-3.089435017225158,D16,-3.1534048335520546,D14,-3.1598916256554155,0.06396981632689647,0.006486792103360894
19,-5,1,early,1,1,1,1,D15,-3.0831198840091196,D16,-3.1499457811698,D14,-3.1598916256554155,0.06682589716068055,0.009945844485615307
20,-5,1,early,1,2,0,0,A02,-3.023648359988842,A03,-3.025985247152648,A01,-3.026516081010143,0.0023368871638060895,0.0005308338574949722
21,-5,1,early,1,2,0,1,A02,-3.030098886312379,A01,-3.031184221642863,A03,-3.0326198556241626,0.0010853353304840496,0.0014356339812997554
22,-5,1,early,1,2,1,0,D15,-3.1022798778068923,D16,-3.166657525615346,D14,-3.1717027572823877,0.0643776478084539,0.0050452316670415165
23,-5,1,early,1,2,1,1,D15,-3.0961054553558944,D16,-3.163151392470554,D14,-3.1717027572823877,0.06704593711465945,0.008551364811833828
