alloc_round1,alloc_round2,alloc_round3,expected_bo3_win
R1-P1-M1,R0-P1-M0,R1-P0-M0,0.9497198834930652
R1-P1-M1,R1-P1-M0,R0-P0-M0,0.9497186510963985
R2-P1-M1,R0-P1-M0,R0-P0-M0,0.9497152797623906
R1-P1-M1,R0-P1-M0,R0-P0-M0,0.9497152667809525
R0-P1-M1,R1-P1-M0,R1-P0-M0,0.9497142498211347
R0-P1-M1,R0-P1-M0,R2-P0-M0,0.9497108713269258
R0-P1-M1,R0-P1-M0,R1-P0-M0,0.9497108646970059
R0-P1-M1,R2-P1-M0,R0-P0-M0,0.9497096488181408
R0-P1-M1,R1-P1-M0,R0-P0-M0,0.9497096324986422
R0-P1-M1,R0-P1-M0,R0-P0-M0,0.9497062474254194
R1-P2-M1,R1-P0-M0,R0-P0-M0,0.9489792386449751
R1-P2-M1,R0-P0-M0,R1-P0-M0,0.9489776611488754
R0-P2-M1,R1-P0-M0,R1-P0-M0,0.9489746298591162
R2-P2-M1,R0-P0-M0,R0-P0-M0,0.9489728719542079
R1-P2-M1,R0-P0-M0,R0-P0-M0,0.9489728586662316
R0-P2-M1,R2-P0-M0,R0-P0-M0,0.9489698466064075
R0-P2-M1,R1-P0-M0,R0-P0-M0,0.948969826755142
R0-P2-M1,R0-P0-M0,R2-P0-M0,0.9489682551110493
R0-P2-M1,R0-P0-M0,R1-P0-M0,0.94896824821442
R0-P2-M1,R0-P0-M0,R0-P0-M0,0.9489634451984481
R1-P1-M1,R1-P0-M0,R0-P1-M0,0.9488530844954475
R1-P1-M1,R0-P0-M0,R1-P1-M0,0.9488474100260792
R2-P1-M1,R0-P0-M0,R0-P1-M0,0.9488460297706097
R1-P1-M1,R0-P0-M0,R0-P1-M0,0.9488460168234923
R0-P1-M1,R1-P0-M0,R1-P1-M0,0.9488454839739695
R0-P1-M1,R2-P0-M0,R0-P1-M0,0.9488441128585909
R0-P1-M1,R1-P0-M0,R0-P1-M0,0.9488440905934978
R0-P1-M1,R0-P0-M0,R2-P1-M0,0.9488384192597887
R0-P1-M1,R0-P0-M0,R1-P1-M0,0.9488384146638322
R0-P1-M1,R0-P0-M0,R0-P1-M0,0.948837021313617
R0-P2-M0,R1-P0-M1,R1-P0-M0,0.948705530317766
R1-P2-M0,R1-P0-M1,R0-P0-M0,0.9487034157938494
R0-P2-M0,R2-P0-M1,R0-P0-M0,0.9487010098159379
R0-P2-M0,R1-P0-M1,R0-P0-M0,0.9487009835884925
R1-P2-M0,R0-P0-M1,R1-P0-M0,0.9486964349173259
R0-P2-M0,R0-P0-M1,R2-P0-M0,0.948694008874587
R0-P2-M0,R0-P0-M1,R1-P0-M0,0.9486940023456218
R2-P2-M0,R0-P0-M1,R0-P0-M0,0.948691895537275
R1-P2-M0,R0-P0-M1,R0-P0-M0,0.9486918881024999
R0-P2-M0,R0-P0-M1,R0-P0-M0,0.9486894553818478
R1-P0-M1,R0-P2-M0,R1-P0-M0,0.9483535056846226
R1-P0-M1,R1-P2-M0,R0-P0-M0,0.9483528729008377
R2-P0-M1,R0-P2-M0,R0-P0-M0,0.9483489697751666
R1-P0-M1,R0-P2-M0,R0-P0-M0,0.9483489527387446
R0-P0-M1,R1-P2-M0,R1-P0-M0,0.9483451157483809
R0-P0-M1,R0-P2-M0,R2-P0-M0,0.948341200996417
R0-P0-M1,R0-P2-M0,R1-P0-M0,0.9483411944576978
R0-P0-M1,R2-P2-M0,R0-P0-M0,0.9483405803293801
R0-P0-M1,R1-P2-M0,R0-P0-M0,0.9483405619340434
R0-P0-M1,R0-P2-M0,R0-P0-M0,0.9483366407008745
R1-P0-M1,R1-P1-M0,R0-P1-M0,0.9481687015111582
R1-P0-M1,R0-P1-M0,R1-P1-M0,0.9481662207306644
R2-P0-M1,R0-P1-M0,R0-P1-M0,0.9481648668068812
R1-P0-M1,R0-P1-M0,R0-P1-M0,0.9481648501724956
R0-P0-M1,R1-P1-M0,R1-P1-M0,0.9481580518952379
R0-P0-M1,R2-P1-M0,R0-P1-M0,0.9481566999098904
R0-P0-M1,R1-P1-M0,R0-P1-M0,0.9481566811020583
R0-P0-M1,R0-P1-M0,R2-P1-M0,0.9481542039785863
R0-P0-M1,R0-P1-M0,R1-P1-M0,0.9481541994570939
R0-P0-M1,R0-P1-M0,R0-P1-M0,0.9481528286820684
R0-P1-M0,R1-P1-M1,R1-P0-M0,0.9480398798266493
R1-P1-M0,R1-P1-M1,R0-P0-M0,0.9480375372341304
R0-P1-M0,R2-P1-M1,R0-P0-M0,0.9480353302095472
R0-P1-M0,R1-P1-M1,R0-P0-M0,0.948035307847928
R1-P1-M0,R0-P1-M1,R1-P0-M0,0.9480337014909753
R0-P1-M0,R0-P1-M1,R2-P0-M0,0.9480314785330122
R0-P1-M0,R0-P1-M1,R1-P0-M0,0.9480314719677235
R2-P1-M0,R0-P1-M1,R0-P0-M0,0.9480291367330035
R1-P1-M0,R0-P1-M1,R0-P0-M0,0.9480291293784474
R0-P1-M0,R0-P1-M1,R0-P0-M0,0.9480268997071509
