wins_my,wins_opp,scenario_key,scenario,reset_left,pause_left,repair_left,alloc_reset,alloc_pause,alloc_repair,allocation_label,round_pwin,expected_used_reset,expected_used_pause,expected_used_repair,next_win_state,next_lose_state
0,0,tied,平局局,2,2,1,2,2,1,R2-P2-M1,0.8927247258290868,0.0007133409300995571,1.797406442424968,0.25528029915482137,"(1,0)","(0,1)"
0,1,trailing,落后局,0,0,0,0,0,0,R0-P0-M0,0.7861582226620234,0.0,0.0,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,0,0,1,0,0,1,R0-P0-M1,0.7993312680775158,0.0,0.0,0.35360357192444114,"(1,1)","(0,2)"
0,1,trailing,落后局,0,1,0,0,1,0,R0-P1-M0,0.8038052431990703,0.0,0.8299079693510969,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,0,1,1,0,1,1,R0-P1-M1,0.8162386708830458,0.0,0.8263771444409771,0.3012151630941561,"(1,1)","(0,2)"
0,1,trailing,落后局,0,2,0,0,1,0,R0-P1-M0,0.8038052431990703,0.0,0.8299079693510969,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,0,2,1,0,1,1,R0-P1-M1,0.8162386708830458,0.0,0.8263771444409771,0.3012151630941561,"(1,1)","(0,2)"
0,1,trailing,落后局,1,0,0,1,0,0,R1-P0-M0,0.786222490420853,0.0007879461346492083,0.0,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,1,0,1,1,0,1,R1-P0-M1,0.7994137246206288,0.0014557468184617007,0.0,0.3534329101784895,"(1,1)","(0,2)"
0,1,trailing,落后局,1,1,0,1,1,0,R1-P1-M0,0.8038362673675347,0.0004917993028155989,0.8299542914638169,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,1,1,1,1,1,1,R1-P1-M1,0.8162879004992717,0.0011513564708044864,0.8264254523826421,0.301206711507026,"(1,1)","(0,2)"
0,1,trailing,落后局,1,2,0,1,1,0,R1-P1-M0,0.8038362673675347,0.0004917993028155989,0.8299542914638169,0.0,"(1,1)","(0,2)"
