score_diff_band,time_bucket_band,status_label,recommended_action_id,recommended_action_name,state_count,state_share,mean_state_value
大幅落后,中期,低机能,TACT_RECOVER,平衡恢复,720,0.6666666666666666,0.0035593602411467984
大幅落后,中期,倒地,USE_RESET,人工复位,2160,0.6666666666666666,0.003664292175285717
大幅落后,中期,故障,USE_REPAIR,紧急维修,3240,0.5,0.0
大幅落后,中期,正常,TACT_RECOVER,平衡恢复,1440,0.6666666666666666,0.006222469439750528
大幅落后,前期,低机能,TACT_RECOVER,平衡恢复,632,0.4876543209876543,0.0035873070459405063
大幅落后,前期,倒地,USE_RESET,人工复位,2592,0.6666666666666666,0.010307505815584142
大幅落后,前期,故障,USE_REPAIR,紧急维修,3888,0.5,0.0
大幅落后,前期,正常,TACT_RECOVER,平衡恢复,1664,0.6419753086419753,0.013290068222346983
大幅落后,后期,低机能,TACT_PROBE,试探攻击,540,0.625,0.0
大幅落后,后期,倒地,USE_RESET,人工复位,1728,0.6666666666666666,0.00029221349947106053
大幅落后,后期,故障,USE_REPAIR,紧急维修,2592,0.5,0.0
大幅落后,后期,正常,TACT_PROBE,试探攻击,1080,0.625,0.0
大幅领先,中期,低机能,USE_PAUSE,战术暂停,684,0.6333333333333333,0.9990669839597819
大幅领先,中期,倒地,USE_RESET,人工复位,2160,0.6666666666666666,0.9983977528077124
大幅领先,中期,故障,USE_REPAIR,紧急维修,3240,0.5,0.940626562946289
大幅领先,中期,正常,USE_PAUSE,战术暂停,1368,0.6333333333333333,0.9996098033978994
大幅领先,前期,低机能,USE_PAUSE,战术暂停,864,0.6666666666666666,0.9888785105851693
大幅领先,前期,倒地,USE_RESET,人工复位,2592,0.6666666666666666,0.989656667664619
大幅领先,前期,故障,USE_REPAIR,紧急维修,3888,0.5,0.8203174753621644
大幅领先,前期,正常,USE_PAUSE,战术暂停,1728,0.6666666666666666,0.9946097834111988
大幅领先,后期,低机能,TACT_PROBE,试探攻击,756,0.875,0.9997339546956636
大幅领先,后期,倒地,USE_RESET,人工复位,1728,0.6666666666666666,0.9999254995247242
大幅领先,后期,故障,USE_REPAIR,紧急维修,2592,0.5,0.9929845703125001
大幅领先,后期,正常,TACT_PROBE,试探攻击,1512,0.875,0.9999319113037353
小幅落后,中期,低机能,TACT_RECOVER,平衡恢复,132,0.4888888888888889,0.09430322772882653
小幅落后,中期,倒地,USE_RESET,人工复位,540,0.6666666666666666,0.10862720579038673
小幅落后,中期,故障,USE_REPAIR,紧急维修,810,0.5,0.0
小幅落后,中期,正常,TACT_RECOVER,平衡恢复,360,0.6666666666666666,0.14216768622788983
小幅落后,前期,低机能,USE_PAUSE,战术暂停,216,0.6666666666666666,0.12644756543941738
小幅落后,前期,倒地,USE_RESET,人工复位,648,0.6666666666666666,0.162734027092454
小幅落后,前期,故障,USE_REPAIR,紧急维修,972,0.5,0.0
小幅落后,前期,正常,TACT_RECOVER,平衡恢复,278,0.42901234567901236,0.19020410041123195
小幅落后,后期,低机能,TACT_RECOVER,平衡恢复,144,0.6666666666666666,0.05835247017207114
小幅落后,后期,倒地,USE_RESET,人工复位,432,0.6666666666666666,0.0334282353220506
小幅落后,后期,故障,USE_REPAIR,紧急维修,648,0.5,0.0
小幅落后,后期,正常,TACT_RECOVER,平衡恢复,288,0.6666666666666666,0.06652061376784646
小幅领先,中期,低机能,USE_PAUSE,战术暂停,180,0.6666666666666666,0.9614484195930184
小幅领先,中期,倒地,USE_RESET,人工复位,540,0.6666666666666666,0.936790636835805
小幅领先,中期,故障,USE_REPAIR,紧急维修,810,0.5,0.5230479950353516
小幅领先,中期,正常,USE_PAUSE,战术暂停,360,0.6666666666666666,0.9741632855668487
小幅领先,前期,低机能,USE_PAUSE,战术暂停,216,0.6666666666666666,0.8824668867515192
小幅领先,前期,倒地,USE_RESET,人工复位,648,0.6666666666666666,0.8853079097148059
小幅领先,前期,故障,USE_REPAIR,紧急维修,972,0.5,0.28091402660876486
小幅领先,前期,正常,USE_PAUSE,战术暂停,432,0.6666666666666666,0.9305307282257909
小幅领先,后期,低机能,USE_PAUSE,战术暂停,108,0.5,0.9851823332936184
小幅领先,后期,倒地,USE_RESET,人工复位,432,0.6666666666666666,0.9587631653042245
小幅领先,后期,故障,USE_REPAIR,紧急维修,648,0.5,0.8144828125000001
小幅领先,后期,正常,TACT_PROBE,试探攻击,360,0.8333333333333334,0.9935589029977149
平局,中期,低机能,USE_PAUSE,战术暂停,180,0.6666666666666666,0.5087097281216117
平局,中期,倒地,USE_RESET,人工复位,540,0.6666666666666666,0.5097749699142557
平局,中期,故障,USE_REPAIR,紧急维修,810,0.5,0.16455393877285157
平局,中期,正常,TACT_AGGRESSIVE,激进攻击,250,0.46296296296296297,0.5465709974668812
平局,前期,低机能,USE_PAUSE,战术暂停,216,0.6666666666666666,0.4878179740097938
平局,前期,倒地,USE_RESET,人工复位,648,0.6666666666666666,0.5121061290292012
平局,前期,故障,USE_REPAIR,紧急维修,972,0.5,0.06812406561369928
平局,前期,正常,TACT_AGGRESSIVE,激进攻击,266,0.4104938271604938,0.5056594632826008
平局,后期,低机能,TACT_RECOVER,平衡恢复,120,0.5555555555555556,0.5129734768063214
平局,后期,倒地,USE_RESET,人工复位,432,0.6666666666666666,0.4825993740860592
平局,后期,故障,USE_REPAIR,紧急维修,648,0.5,0.33857890625000003
平局,后期,正常,TACT_RECOVER,平衡恢复,264,0.6111111111111112,0.5303415851381498
